"time","cpu_request","cpu_limit","cpu_usage"
1724520750000,0.1,0.25,0.00004982413190604631
1724520780000,0.1,0.25,0
1724520810000,0.1,0.25,0.000003058561048790079
1724520840000,0.1,0.25,0.0000032330842759761214
1724520870000,0.1,0.25,0.00006950201561478147
1724520900000,0.1,0.25,0
1724520930000,0.1,0.25,0.000004304571009448993
1724520960000,0.1,0.25,0.000002937883478171214
1724520990000,0.1,0.25,0.000042436750782186134
1724521020000,0.1,0.25,0.00005176959195497991
1724521050000,0.1,0.25,0.000004028198947873166
1724521080000,0.1,0.25,0.000003467416281948785
1724521110000,0.1,0.25,0
1724521140000,0.1,0.25,0.000047669755900937974
1724521170000,0.1,0.25,0.00000405964580764385
1724521200000,0.1,0.25,0
1724521230000,0.1,0.25,0.000043629905642189455
1724521260000,0.1,0.25,0.00005878631912148543
1724521290000,0.1,0.25,0.000004341687429723946
1724521320000,0.1,0.25,0.000003933084021111259
1724521350000,0.1,0.25,0
1724521380000,0.1,0.25,0.000057958749761360734
1724521410000,0.1,0.25,0.0000027114962974485516
1724521440000,0.1,0.25,0.000003203465287296009
1724521470000,0.1,0.25,0.00005003244440585127
1724521500000,0.1,0.25,0.0000549776308157865
1724521530000,0.1,0.25,0.000003521949730280149
1724521560000,0.1,0.25,0.000003575951067247641
1724521590000,0.1,0.25,0.00008570669366671945
1724521620000,0.1,0.25,0
1724521650000,0.1,0.25,0.0000025957384222379792
1724521680000,0.1,0.25,0
1724521710000,0.1,0.25,0
1724521740000,0.1,0.25,0.00005150226954928813
1724521770000,0.1,0.25,0.000003515772572705662
1724521800000,0.1,0.25,0
1724521830000,0.1,0.25,0
1724521860000,0.1,0.25,0.0000562831157469164
1724521890000,0.1,0.25,0.0000030179949638169533
1724521920000,0.1,0.25,0.0000036574900788156473
1724521950000,0.1,0.25,0.0000584790407943004
1724521980000,0.1,0.25,0.00005604483034389423
1724522010000,0.1,0.25,0.000002789006889781792
1724522040000,0.1,0.25,0.0000030636394046436463
1724522070000,0.1,0.25,0
1724522100000,0.1,0.25,0.000043171926186921296
1724522130000,0.1,0.25,0.000002992093137976838
1724522160000,0.1,0.25,0
1724522190000,0.1,0.25,0.000066720094883045
1724522220000,0.1,0.25,0.0000473912746965879
1724522250000,0.1,0.25,0.0000030350738176487114
1724522280000,0.1,0.25,0.000002369124580782368
1724522310000,0.1,0.25,0.00004629263418150391
1724522340000,0.1,0.25,0.00005741185639451368
1724522370000,0.1,0.25,0.000004715401815911572
1724522400000,0.1,0.25,0.000003882589117473474
1724522430000,0.1,0.25,0.00005209902644885964
1724522460000,0.1,0.25,0.00005098695563281773
1724522490000,0.1,0.25,0.0000038086091966542908
1724522520000,0.1,0.25,0.000004062507809048156
1724522550000,0.1,0.25,0.00005028120256458394
1724522580000,0.1,0.25,0.000050995524679802984
1724522610000,0.1,0.25,0.000005523590048517363
1724522640000,0.1,0.25,0.000005773823399848906
1724522670000,0.1,0.25,0.000063929644485425
1724522700000,0.1,0.25,0.00005183774392954778
1724522730000,0.1,0.25,0.0000038099751748805965
1724522760000,0.1,0.25,0
1724522790000,0.1,0.25,0.00005545629730254887
1724522820000,0.1,0.25,0.00006188395182105136
1724522850000,0.1,0.25,0.0000032151634765949456
1724522880000,0.1,0.25,0.000003266577546869145
1724522910000,0.1,0.25,0.00006419927622370595
1724522940000,0.1,0.25,0.00006413590383206096
1724522970000,0.1,0.25,0.000004585827614812753
1724523000000,0.1,0.25,0.0000037268861861587123
1724523030000,0.1,0.25,0.000043445611058001096
1724523060000,0.1,0.25,0.00006561552630864021
1724523090000,0.1,0.25,0.000004563648987325659
1724523120000,0.1,0.25,0.0000030553141610544886
1724523150000,0.1,0.25,0.000055721150262851245
1724523180000,0.1,0.25,0.0000727213404374578
1724523210000,0.1,0.25,0.000004591774258064381
1724523240000,0.1,0.25,0.000004244958194932256
1724523270000,0.1,0.25,0.00004914457118053361
1724523300000,0.1,0.25,0.00004766406369626321
1724523330000,0.1,0.25,0.000003216668016959082
1724523360000,0.1,0.25,0
1724523390000,0.1,0.25,0.00006131193746448501
1724523420000,0.1,0.25,0
1724523450000,0.1,0.25,0.000003170986527549299
1724523480000,0.1,0.25,0
1724523510000,0.1,0.25,0.00005614998329519113
1724523540000,0.1,0.25,0.000058137726685602517
1724523570000,0.1,0.25,0.000004211823174532552
1724523600000,0.1,0.25,0.000004184907774450472
1724523630000,0.1,0.25,0.000046600328314011836
1724523660000,0.1,0.25,0.00006515911473825514
1724523690000,0.1,0.25,0.000004950300810835817
1724523720000,0.1,0.25,0.000003358116260881775
1724523750000,0.1,0.25,0.00005328140421448873
1724523780000,0.1,0.25,0
1724523810000,0.1,0.25,0.000004042177119641098
1724523840000,0.1,0.25,0.000003672474896741259
1724523870000,0.1,0.25,0.000043622317420509904
1724523900000,0.1,0.25,0.0000596220760665136
1724523930000,0.1,0.25,0.000003538528499036913
1724523960000,0.1,0.25,0.000004545211473094473
1724523990000,0.1,0.25,0.0000573749035561172
1724524020000,0.1,0.25,0.00006704685664322529
1724524050000,0.1,0.25,0.000004466038495256875
1724524080000,0.1,0.25,0.000004689866457382261
1724524110000,0.1,0.25,0.00006892526884995285
1724524140000,0.1,0.25,0.0000445420314893154
1724524170000,0.1,0.25,0.0000031216111541319422
1724524200000,0.1,0.25,0.000004941260336450713
1724524230000,0.1,0.25,0.00005323873884367616
1724524260000,0.1,0.25,0.00004277379615065295
1724524290000,0.1,0.25,0.000004242934680870558
1724524320000,0.1,0.25,0
1724524350000,0.1,0.25,0.00004811824630237869
1724524380000,0.1,0.25,0.00005046119096658258
1724524410000,0.1,0.25,0.0000033432912257481614
1724524440000,0.1,0.25,0.0000028838579054566877
1724524470000,0.1,0.25,0.00005474412285133882
1724524500000,0.1,0.25,0
1724524530000,0.1,0.25,0
1724524560000,0.1,0.25,0.000003862353654633352
1724524590000,0.1,0.25,0.00003056984918919772
1724524620000,0.1,0.25,0.00004143491844463306
1724524650000,0.1,0.25,0.000004356160641122176
1724524680000,0.1,0.25,0.0000037499265066271526
1724524710000,0.1,0.25,0.000043019022093126146
1724524740000,0.1,0.25,0.00007120262610996762
1724524770000,0.1,0.25,0.000005123242543735254
1724524800000,0.1,0.25,0.000003849622066081225
1724524830000,0.1,0.25,0.00004443988969828872
1724524860000,0.1,0.25,0.0000596434943518834
1724524890000,0.1,0.25,0.000004738778121370843
1724524920000,0.1,0.25,0.0000025394049511681687
1724524950000,0.1,0.25,0.00003957424669408126
1724524980000,0.1,0.25,0.00005990055496368418
1724525010000,0.1,0.25,0.000005098324160554056
1724525040000,0.1,0.25,0.00000317266989918878
1724525070000,0.1,0.25,0
1724525100000,0.1,0.25,0.00007407100624111146
1724525130000,0.1,0.25,0.0000034117220794766505
1724525160000,0.1,0.25,0.0000043829240181839515
1724525190000,0.1,0.25,0
1724525220000,0.1,0.25,0.00005270885239701984
1724525250000,0.1,0.25,0.0000030566743960930014
1724525280000,0.1,0.25,0.00000311514303661392
1724525310000,0.1,0.25,0.00003393871268930446
1724525340000,0.1,0.25,0.000028790779054511823
1724525370000,0.1,0.25,0.000003776705061470676
1724525400000,0.1,0.25,0
1724525430000,0.1,0.25,0.000051943769539972585
1724525460000,0.1,0.25,0.00006226522472361198
1724525490000,0.1,0.25,0.000004808383711844796
1724525520000,0.1,0.25,0.0000043935854381676215
1724525550000,0.1,0.25,0.00004281102797534111
1724525580000,0.1,0.25,0.0000424627926955958
1724525610000,0.1,0.25,0.000004594316780132942
1724525640000,0.1,0.25,0.0000036456150730112615
1724525670000,0.1,0.25,0.000054991221289793824
1724525700000,0.1,0.25,0.00003720239051268076
1724525730000,0.1,0.25,0.0000037329015126991895
1724525760000,0.1,0.25,0
