"time","receive_packets_dropped","transmit_packets_dropped","total_packets_dropped"
1724535750000,0,0,0
1724535780000,0,0,0
1724535810000,0,0,0
1724535840000,0,0,0
1724535870000,0,0,0
1724535900000,0,0,0
1724535930000,0,0,0
1724535960000,0,0,0
1724535990000,0,0,0
1724536020000,0,0,0
1724536050000,0,0,0
1724536080000,0,0,0
1724536110000,0,0,0
1724536140000,0,0,0
1724536170000,0,0,0
1724536200000,0,0,0
1724536230000,0,0,0
1724536260000,0,0,0
1724536290000,0,0,0
1724536320000,0,0,0
1724536350000,0,0,0
1724536380000,0,0,0
1724536410000,0,0,0
1724536440000,0,0,0
1724536470000,0,0,0
1724536500000,0,0,0
1724536530000,0,0,0
1724536560000,0,0,0
1724536590000,0,0,0
1724536620000,0,0,0
1724536650000,0,0,0
1724536680000,0,0,0
1724536710000,0,0,0
1724536740000,0,0,0
1724536770000,0,0,0
1724536800000,0,0,0
1724536830000,0,0,0
1724536860000,0,0,0
1724536890000,0,0,0
1724536920000,0,0,0
1724536950000,0,0,0
1724536980000,0,0,0
1724537010000,0,0,0
1724537040000,0,0,0
1724537070000,0,0,0
1724537100000,0,0,0
1724537130000,0,0,0
1724537160000,0,0,0
1724537190000,0,0,0
1724537220000,0,0,0
1724537250000,0,0,0
1724537280000,0,0,0
