time,pod,namespace,cpu_request,cpu_limit,cpu_usage,memory_request,memory_limit,memory_usage,receive_packets,transmit_packets,total_packets,receive_packets_dropped,transmit_packets_dropped,total_packets_dropped
1724520480000,amf1,free5gc,0.1,0.25,0.00000374531118437815,104857600.0,536870912.0,59846656,,,,,,
1724520510000,amf1,free5gc,0.1,0.25,0.000005482396692321748,104857600.0,536870912.0,59846656,,,,,,
1724520540000,amf1,free5gc,0.1,0.25,0.00006793282279268824,104857600.0,536870912.0,59846656,,,,,,
1724520570000,amf1,free5gc,0.1,0.25,0.00005558234140203553,104857600.0,536870912.0,59846656,,,,,,
1724520600000,amf1,free5gc,0.1,0.25,0.000003442502513264522,104857600.0,536870912.0,59846656,,,,,,
1724520630000,amf1,free5gc,0.1,0.25,0.000004531133862619598,104857600.0,536870912.0,59846656,,,,,,
1724520660000,amf1,free5gc,0.1,0.25,0.00006866902232293045,104857600.0,536870912.0,59846656,,,,,,
1724520690000,amf1,free5gc,0.1,0.25,0.00005984108688407004,104857600.0,536870912.0,59846656,,,,,,
1724520720000,amf1,free5gc,0.1,0.25,0.0000020332952421748212,104857600.0,536870912.0,59846656,,,,,,
1724520750000,amf1,free5gc,0.1,0.25,0.0000031509483538902576,104857600.0,536870912.0,59846656,,,,,,
1724520780000,amf1,free5gc,0.1,0.25,0.00005870949978752928,104857600.0,536870912.0,59748352,,,,,,
1724520810000,amf1,free5gc,0.1,0.25,0.000060717832094362775,104857600.0,536870912.0,59588608,,,,,,
1724520840000,amf1,free5gc,0.1,0.25,0.000004403307815465651,104857600.0,536870912.0,59588608,,,,,,
1724520870000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,59588608,,,,,,
1724520900000,amf1,free5gc,0.1,0.25,0.00006813190290664107,104857600.0,536870912.0,59588608,,,,,,
1724520930000,amf1,free5gc,0.1,0.25,0.00009894809127867491,104857600.0,536870912.0,59588608,,,,,,
1724520960000,amf1,free5gc,0.1,0.25,0.0000044304927878412625,104857600.0,536870912.0,59588608,,,,,,
1724520990000,amf1,free5gc,0.1,0.25,0.0000035833570441265542,104857600.0,536870912.0,59588608,,,,,,
1724521020000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,59588608,,,,,,
1724521050000,amf1,free5gc,0.1,0.25,0.00008478003816237537,104857600.0,536870912.0,59588608,,,,,,
1724521080000,amf1,free5gc,0.1,0.25,0.000003358407353157672,104857600.0,536870912.0,59588608,,,,,,
1724521110000,amf1,free5gc,0.1,0.25,0.0000032563344256508227,104857600.0,536870912.0,59588608,,,,,,
1724521140000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,59588608,,,,,,
1724521170000,amf1,free5gc,0.1,0.25,0.00007812851089262868,104857600.0,536870912.0,59588608,,,,,,
1724521200000,amf1,free5gc,0.1,0.25,0.000001014547249133319,104857600.0,536870912.0,59588608,,,,,,
